C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2016-11-15T00:00:00.000Z,-1,1,0.5381658978330396,0.08583299993042398,0.5339967012405396,0.4700544476509094,0.6194739937782288,2.017291066282422
2016-12-05T00:00:00.000Z,-0.06481481343507767,0.7669291496276855,0.40802010518608767,0.08676413869646853,0.4155597686767578,0.3034934401512146,0.5120405554771423,1.6330451488952922
2016-12-12T00:00:00.000Z,0.3590655028820038,1,0.6723379050541098,0.18638244971797083,0.6139860153198242,0.4780500829219818,1,0.6724303554274741
2016-12-22T00:00:00.000Z,-1,1,0.6421082747825834,0.1734237262800809,0.5965051651000977,0.4747418463230133,0.9585492014884949,0.9606147934678193
2017-01-01T00:00:00.000Z,-1,1,0.6575445928213283,0.2320156225197923,0.6158663630485535,0.46707576513290405,0.9829059839248657,2.4015369836695504
2017-01-04T00:00:00.000Z,-0.014143530279397964,0.707470178604126,0.36791602947447755,0.13336757038345534,0.40770789980888367,0.13247361779212952,0.506950855255127,9.317963496637843
2017-01-11T00:00:00.000Z,-1,1,0.5026115840166718,0.12473129458283465,0.5136476159095764,0.3668341636657715,0.6248477697372437,6.34005763688762
2017-02-20T00:00:00.000Z,-1,1,0.4838777276740208,0.09343553144348152,0.4829612076282501,0.40053436160087585,0.5695067048072815,4.322766570605186
2017-03-12T00:00:00.000Z,0.16758140921592712,0.7916960120201111,0.4477339890802511,0.07041556049194006,0.45151954889297485,0.3672022819519043,0.5228486657142639,2.4015369836695495
2017-03-25T00:00:00.000Z,0.26034483313560486,0.7279521822929382,0.4559296517275939,0.052992493245290546,0.4573502838611603,0.3937038481235504,0.5129811763763428,3.6503362151777146
2017-04-01T00:00:00.000Z,0.27450069785118103,0.7080091238021851,0.47030115863317257,0.05752683052301562,0.46617335081100464,0.4054901897907257,0.5500927567481995,1.248799231508166
2017-04-21T00:00:00.000Z,0.3644067943096161,0.9404922723770142,0.7439969300536673,0.10723982276802825,0.7536977529525757,0.6025336384773254,0.8800203204154968,0
2017-05-21T00:00:00.000Z,0.42393380403518677,0.9667332172393799,0.9047896079897997,0.051862405445700754,0.9196272492408752,0.8676086068153381,0.9367712736129761,0
2017-06-10T00:00:00.000Z,0.1393258422613144,1,0.9094533524498362,0.0672387446534926,0.9245283007621765,0.8624826669692993,0.9433362483978271,0
2017-06-20T00:00:00.000Z,0.3620512783527374,0.9539982676506042,0.8937069452175367,0.04777288066958115,0.9073797464370728,0.8596314191818237,0.9207351803779602,0
2017-07-05T00:00:00.000Z,0.09768758714199066,0.9320009350776672,0.7948732721645249,0.14412117045364517,0.8576719760894775,0.6016016006469727,0.8914901614189148,3.7463976945244974
2017-07-08T00:00:00.000Z,0.4204947054386139,0.9637067317962646,0.9081665102846911,0.04020233571753506,0.9179720878601074,0.8816479444503784,0.9305513501167297,0
2017-07-10T00:00:00.000Z,0.08449951559305191,0.9010873436927795,0.5179853941332712,0.13757673428390707,0.49982473254203796,0.36813536286354065,0.7239225506782532,7.973102785782891
2017-07-13T00:00:00.000Z,0.11562144011259079,0.9379737973213196,0.7655594931283786,0.1702584970473044,0.8403597474098206,0.4848966598510742,0.8807082772254944,5.95581171950048
2017-07-18T00:00:00.000Z,0.3626621663570404,0.9694868326187134,0.907451869231022,0.04259695494507913,0.9177718758583069,0.8800497055053711,0.9303135871887207,0
2017-07-20T00:00:00.000Z,0.2790583670139313,0.9322564005851746,0.8655043383210357,0.0475925392897541,0.8781306743621826,0.8296376466751099,0.8958954215049744,0
2017-07-23T00:00:00.000Z,0.3361344635486603,0.9518518447875977,0.8828221057952308,0.04833805536138002,0.895995557308197,0.8449666500091553,0.9124218225479126,0
2017-07-25T00:00:00.000Z,0.37951549887657166,0.978318452835083,0.9018603117562165,0.05343638423960832,0.9175365567207336,0.855576753616333,0.9314045906066895,0
2017-07-28T00:00:00.000Z,0.36626917123794556,0.9480083584785461,0.8910764782160779,0.03919647366000913,0.9008947014808655,0.8628333806991577,0.9138272404670715,0
2017-08-02T00:00:00.000Z,0.3652007579803467,0.9666555523872375,0.8857325414816535,0.04179498702964455,0.8961212635040283,0.8594502806663513,0.9110966920852661,0
2017-08-04T00:00:00.000Z,0.31079718470573425,0.9465749859809875,0.8762945089915058,0.04717731115100165,0.8891382217407227,0.836854100227356,0.9069867134094238,0
2017-08-09T00:00:00.000Z,0.3635416626930237,0.9270458221435547,0.8561388216948528,0.04222521005805487,0.8665637969970703,0.8207117915153503,0.886851966381073,0
2017-08-17T00:00:00.000Z,0.3500266373157501,0.9435318112373352,0.893164258095991,0.037345855634483845,0.9018073678016663,0.8694437146186829,0.9160354733467102,0
2017-08-22T00:00:00.000Z,0.46194225549697876,0.9310618042945862,0.884261569475234,0.03678289756416879,0.8935052752494812,0.8583706021308899,0.9080127477645874,0
2017-08-24T00:00:00.000Z,0.35929346084594727,0.9253164529800415,0.866079553174469,0.03966920043322416,0.8765231370925903,0.830152153968811,0.8945679664611816,0
2017-08-27T00:00:00.000Z,0.3597055971622467,0.9107622504234314,0.8643851060631418,0.03807920840077565,0.8734092712402344,0.8337384462356567,0.8914129734039307,0
2017-08-29T00:00:00.000Z,0.31091511249542236,0.9426229596138,0.872956963053813,0.064107032399622,0.8918553590774536,0.8191869854927063,0.9116321206092834,0.3842459173871278
2017-10-08T00:00:00.000Z,0.3885855972766876,0.9106776118278503,0.6362603630559248,0.10183444982958144,0.626204252243042,0.512758195400238,0.782654881477356,1.6330451488952906
