AOT,CLC,AREA,NCELLS,PER
1,26,114764449692.381550,1148,0.36%
0,29,118363334874.372570,1184,0.37%
2,128,126260888468.186220,1263,0.39%
1,29,133058782700.835940,1331,0.42%
1,21,136457729817.160800,1365,0.43%
1,20,139256862736.487430,1393,0.43%
3,12,145954787936.305080,1460,0.46%
0,27,153752372497.286830,1538,0.48%
0,25,155751753153.948820,1558,0.49%
0,18,156651474449.446720,1567,0.49%
1,44,161350018992.602390,1614,0.50%
0,23,162849554485.098880,1629,0.51%
1,*,188941472054.537810,1890,0.59%
0,12,223830664513.289490,2239,0.70%
1,18,226229921301.283870,2263,0.71%
1,24,241625152357.581180,2417,0.75%
1,23,309804032749.744260,3099,0.97%
3,44,310503815979.575740,3106,0.97%
0,44,329697870283.524960,3298,1.03%
0,24,474552998858.641720,4747,1.48%
3,128,630404721045.445310,6306,1.97%
*,44,667593201259.369630,6678,2.08%
1,12,754466290791.359500,7547,2.35%
1,128,1706371421427.681200,17069,5.32%
*,*,1983285642375.112800,19839,6.19%
0,128,2479032076193.998500,24798,7.73%
*,128,17601047765830.430000,176065,54.91%
