VEGETATION_TYPE,TOTAL_AREA,RISK_AREA,%RISK_AREA,%AREA_AQ_DATA
AGRICOLTURE,2320281.252056073,1799.442590995548,0.08,99.86
FOREST,1706371.4214280231,299.907098499258,0.02,99.74
HORTICOLTURE,139856.67693348767,NA,NA,99.71
VEGETATION,1162140.0066846553,899.7212954977739,0.08,98.06
ALL,5328649.3571022395,2999.0709849925797,0.06,99.42
